Citizenship Country,Apprehension AOR,n_arrests
DOMINICAN REPUBLIC,Chicago Area of Responsibility,61
DOMINICAN REPUBLIC,Dallas Area of Responsibility,36
DOMINICAN REPUBLIC,Denver Area of Responsibility,5
DOMINICAN REPUBLIC,Detroit Area of Responsibility,55
DOMINICAN REPUBLIC,El Paso Area of Responsibility,11
DOMINICAN REPUBLIC,Harlingen Area of Responsibility,122
DOMINICAN REPUBLIC,Houston Area of Responsibility,39
DOMINICAN REPUBLIC,Los Angeles Area of Responsibility,19
DOMINICAN REPUBLIC,Miami Area of Responsibility,484
DOMINICAN REPUBLIC,New Orleans Area of Responsibility,90
DOMINICAN REPUBLIC,New York City Area of Responsibility,509
DOMINICAN REPUBLIC,Newark Area of Responsibility,446
DOMINICAN REPUBLIC,Philadelphia Area of Responsibility,433
DOMINICAN REPUBLIC,Phoenix Area of Responsibility,11
DOMINICAN REPUBLIC,Salt Lake City Area of Responsibility,2
DOMINICAN REPUBLIC,San Antonio Area of Responsibility,40
DOMINICAN REPUBLIC,San Diego Area of Responsibility,3
DOMINICAN REPUBLIC,San Francisco Area of Responsibility,8
DOMINICAN REPUBLIC,Seattle Area of Responsibility,5
DOMINICAN REPUBLIC,St. Paul Area of Responsibility,16
DOMINICAN REPUBLIC,Washington Area of Responsibility,12
ECUADOR,Atlanta Area of Responsibility,72
ECUADOR,Baltimore Area of Responsibility,80
ECUADOR,Boston Area of Responsibility,272
ECUADOR,Buffalo Area of Responsibility,123
ECUADOR,Chicago Area of Responsibility,393
ECUADOR,Dallas Area of Responsibility,71
ECUADOR,Denver Area of Responsibility,20
ECUADOR,Detroit Area of Responsibility,59
ECUADOR,El Paso Area of Responsibility,111
ECUADOR,Harlingen Area of Responsibility,329
ECUADOR,Houston Area of Responsibility,56
ECUADOR,Los Angeles Area of Responsibility,53
ECUADOR,Miami Area of Responsibility,114
ECUADOR,New Orleans Area of Responsibility,73
ECUADOR,New York City Area of Responsibility,2268
ECUADOR,Newark Area of Responsibility,950
ECUADOR,Philadelphia Area of Responsibility,142
ECUADOR,Phoenix Area of Responsibility,37
