Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
ROMANIA,4.15,0.0,0.0,14.75,56.37,2.15,0.0,0.0,3.69,0.15,0.0,8.14,8.76,0.0,0.0,0.15,1.08,0.0,0.0,0.61,0.0,0.0,0.0,0.0
RUSSIA,0.23,0.0,0.0,4.29,14.67,1.13,0.0,0.0,28.44,0.0,0.23,14.22,33.63,0.0,0.23,0.0,1.58,0.0,0.0,1.35,0.0,0.0,0.0,0.0
RWANDA,0.0,0.0,0.0,0.0,66.67,5.56,0.0,0.0,0.0,0.0,0.0,5.56,16.67,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMOA,0.0,0.0,0.0,25.0,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAO TOME AND PRINCIPE,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAUDI ARABIA,0.0,0.0,0.0,12.5,37.5,6.25,0.0,0.0,6.25,0.0,0.0,0.0,18.75,0.0,0.0,0.0,6.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0
SENEGAL,0.98,0.0,0.0,0.49,14.22,1.96,0.0,0.0,40.2,0.0,0.0,2.94,27.45,0.0,0.0,0.0,10.29,0.0,0.0,1.47,0.0,0.0,0.0,0.0
SERBIA,16.67,0.0,0.0,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0
SIERRA LEONE,0.0,0.0,0.0,12.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
SINT MAARTEN(DUTCH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLOVAKIA,16.67,0.0,0.0,16.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0
